AionUi / Hermes / Original,Headmaster term,Category,Why / one-liner,Status
AionUi (app name),Headmaster,App,The wizard orchestrator. Lina's thought process made real.,LOCKED
iOfficeAI (company),GCAP Labs,Company,"White-label the company line in package.json, About panel, splash.",LOCKED
aionui.com,gcaplabs.com/headmaster,Marketing URL,Or headmaster.app — pick later.,PENDING
aionrs (Rust backend),Adonis,Backend engine,The backend becomes 'Adonis Core' in marketing. Same root as the model name.,LOCKED
Cowork,Work Along,Verb / mode,"Agents on your side, asking as it goes. Lina-coded. NOT 'Ops' (too techie).",LOCKED
Cowork Mode,Work Along,Mode,Set to Work Along.,LOCKED
New Chat,New Chat,Action button,Starts or continues a durable chat.,LOCKED
Run (autonomous solo),Run It Yourself,Mode,Lina-coded — let them handle it.,LOCKED
YOLO Mode (auto-approve),Hands-Off,Mode,Don't ping me for every step.,LOCKED
Full-Auto Mode,Autopilot,Mode,Set to Autopilot for 24/7 scheduled work.,LOCKED
Team Mode,The Council,Feature,Lina tribute. Multiple perspectives deliberating. Headmaster orchestrator + teammates.,LOCKED
Leader agent,The Headmaster (orchestrator role),Role,"In Council context, the Leader is the Headmaster.",LOCKED
Teammates,The Specialists,Role,"In Council context, the workers are the Specialists.",LOCKED
Shared task board,The Council Chamber,UI,Where the Council's work is shown.,LOCKED
Parallel execution,Deliberating in parallel,Verb,When the Council runs multiple Linas at once.,LOCKED
20+ Built-in Assistants,20+ Specialists,Category,The pre-loaded named characters.,LOCKED
Patrick (Slide Creator),The Writer,Specialist,"Slides, decks, presentations.",LOCKED
Marco (Morph PPT),The Storyteller,Specialist,"Visual narratives, motion slides.",LOCKED
Maya (3D Morph PPT),The Visualizer,Specialist,"3D, infographics, spatial.",LOCKED
David (Pitch Deck),The Closer,Specialist,"Pitch decks, fundraising, investor-ready.",LOCKED
Emily (Excel Creator),The Analyst,Specialist,"Spreadsheets, finance, data crunching.",LOCKED
Raj (Dashboard),The Dash,Specialist,"Dashboards, charts, viz.",LOCKED
Warren (Financial Model),The Modeler,Specialist,"DCF, 3-statement models, forecasts.",LOCKED
William (Word Creator),The Reporter,Specialist,"Documents, reports, briefs.",LOCKED
Albert (Academic Paper),The Researcher,Specialist,"Academic, deep research, citations.",LOCKED
Ben (Diagram Expert),The Architect,Specialist,"Flowcharts, ER maps, system design.",LOCKED
Stella (UI/UX Designer),The Designer,Specialist,"UI/UX, prototypes, 57 styles.",LOCKED
Max (3D Game),The Builder,Specialist,"Code, games, complex logic.",LOCKED
Oliver (Story Writer),The Wordsmith,Specialist,"Creative writing, fiction, narrative.",LOCKED
Henry (Life Coach),The Coach,Specialist,"Personal, life, productivity.",LOCKED
Carlos (Cowork Agent),The Operator,Specialist,Autonomous general work.,LOCKED
Peter (Planner),The Planner,Specialist,"Project breakdown, tracking.",LOCKED
Sophie (Job Publisher),The Recruiter,Specialist,"HR, hiring, people ops.",LOCKED
Gerald (Office Helper),The Setup Crew,Specialist,"Setup, integration, plumbing.",LOCKED
Noah (OpenClaw Setup),The DevOps,Specialist,"Infrastructure, deployment.",LOCKED
Miles (moltbook),The Connector,Specialist,"Network, social, outreach.",LOCKED
Skills Marketplace,The Agency,Marketplace,Where to find more abilities. NOT 'Skills' (jargon). NOT 'Faculty' (too academic).,LOCKED
Built-in Skills,Founding Skills,Tier,Pre-loaded abilities of the Specialists.,LOCKED
Custom Skills,Your Skills,Tier,User-created abilities for their Specialists.,LOCKED
Extension Skills,Open Casting,Tier,Community-submitted abilities. Try before you hire.,LOCKED
Browse Skills (action),Browse the Agency,Action,Click this to find more abilities.,LOCKED
Add Skill (action),Add a Skill,Action,A specialist gets a new ability. Stays 'skill' at singular level.,LOCKED
Skill indicator (per conversation),On the Team,Indicator,What Specialists are working on this mission.,LOCKED
"Skills categories (PPT, Excel, etc.)",Departments,Category,The Agency has Departments you can browse.,LOCKED
Custom Assistant,Your Hires,Category,User-created Specialists.,LOCKED
Create new Assistant,Hire a Specialist,Action,Add a new person to the team.,LOCKED
Edit Assistant,Edit a Specialist,Action,"Tweak their skills, voice, role.",LOCKED
24/7 Automation,The Schedule,Feature,"Lina-coded. Meticulous, planned ahead.",LOCKED
Scheduled Tasks,The Schedule,UI,Same word. Don't say 'tasks'.,LOCKED
Cron expression,Recurring Schedule,Config,Hidden in the Library (PIN-gated).,LOCKED
Fixed interval,Every N minutes / hours,Config,Plain language.,LOCKED
One-time trigger,Run once,Config,Plain language.,LOCKED
Keep-awake feature,Don't sleep,Toggle,The plan runs even if I close the app.,LOCKED
Missed trigger detection,Catch up,Toggle,"If I missed Monday, run it Tuesday.",LOCKED
WebUI,Headmaster on the Go,Mobile companion,Phone-accessible. QR code in the desktop app.,LOCKED
"Remote control (Telegram, etc.)",Headmaster on the Go,Remote,Mobile is browser-based v1; native app v2.,LOCKED
Telegram/Slack/Discord,Connections,Channels,The places you can reach Headmaster from.,LOCKED
MCP Servers,Connections,Category,External tools Headmaster can call on. NOT 'MCP' (jargon for users).,LOCKED
Unified MCP,All your Connections,Feature,"Add once, every Specialist can use it.",LOCKED
"Multi-CLI auto-detect (Codex, Claude Code)",Your Crew,Backing agents,The underlying CLIs that power each Specialist. Internal name only.,INTERNAL
"Claude Code, Codex, Gemini CLI, etc.","Codex, Claude Code, Gemini CLI, etc.",Backing agents,Don't rename these — they are real product names. Hide them behind Specialists in the UI.,KEEP AS-IS
Office Toolkit,Documents,Category,Generate native Office files locally.,LOCKED
"PPT, Excel, Word, PDF","Decks, Spreadsheets, Reports, PDFs",File types,Plain language for the file types.,LOCKED
Preview Panel (10+ formats),Preview,Feature,See what the Specialist made.,LOCKED
Smart File Management,File Manager,Feature,"Auto-organize, batch rename, classify.",LOCKED
Auto-organize folders,Sort my files,Action,Plain verb.,LOCKED
Batch rename,Rename a batch,Action,Plain verb.,LOCKED
Settings (single page),My Headmaster + Headmaster's Library,Surface split,Two settings: user-facing (no PIN) + dev (PIN-gated).,LOCKED
Settings → Profile,My Headmaster → Profile,Route,User-facing. No PIN.,LOCKED
Settings → Providers / API keys,Headmaster's Library → Connections,Route,PIN-gated. Lina-coded: don't let people nuke provider config.,LOCKED
Settings → Model defaults,My Headmaster → Model defaults,Route,User picks Adonis / Claude / etc. No PIN.,LOCKED
Settings → Theme / display,My Headmaster → Look,Route,User picks theme. No PIN.,LOCKED
Settings → Gateway / advanced,Headmaster's Library → Advanced,Route,PIN-gated.,LOCKED
Settings → Env vars / install,Headmaster's Library → Installation,Route,PIN-gated. Lina touch — 1mm precision.,LOCKED
(no auth),PIN gate (5462 default),Auth,Sorting Hat's passphrase. Lina phone-keypad easter egg default. User changes on first run.,LOCKED
(no modal),Sorting Hat's passphrase,Modal copy,4-6 digit PIN. Bcrypt-hashed locally.,LOCKED
(no lockout),"3 wrong = 60s lockout, 5 wrong = 5min",Security,Lina-coded: don't let them brute force her library.,LOCKED
(no recovery),Reset = re-install Headmaster,Recovery,Local app. No email recovery. Simple.,LOCKED
